Marca temporal,Sexo,Fecha de nacimiento,Universidad,Area de estudio,¿Cón quien vive?,¿Cuál es el genero de musica que escuchas?,¿Cuál fue el motivo por el que empezó a escuchar ese genero? ,Escucha música cuando va en un medio de transporte?,Donde prefiere escuchar música?,¿Cuánto tiempo en horas dedicas para escuchar tu musica?,"Cuando escuchas una canción, consideras que  ver su videoclip influye en tu opinion sobre ella?",¿Para tí es mas importante el contenido de la canción o el ritmo?,¿Cuando escucha música?,¿La música que escuchas influye en tu forma de hablar?,Su relación con amigos depende de la clase música que ellos escuchan?,Eliges un lugar para reunirte con amigos por la clase de música que colocan en este?,,,
24/8/2018 17:00:01,Hombre,26/4/2000,Universidad Mayor de San Simón,Tecnológia,Padres,"Rock/Punk/Metal, Cumbia, Baladas, Clasica, Bachata, Folklorica",Curiosidad,Simpre,Reproductor de celurar (Descargadas en el dispositivo),3,No,Ambos,En cualquier momento,No,No,No,,,
24/8/2018 17:01:19,Mujer,1/8/2000,Universidad Mayor de San Simón,Tecnológia,Padres,"Pop, Rock/Punk/Metal, Reggaton, Cumbia, Baladas, Reggae, Electronica, Kpop, Bachata, Folklorica",Curiosidad,Simpre,Reproductor de celurar (Descargadas en el dispositivo),4,Si,Ambos,cuando esta triste/deprimido,Si,A veces,Si,,,
24/8/2018 17:02:18,Hombre,25/12/2000,Universidad Mayor de San Simón,Tecnológia,Padres,Electronica,Curiosidad,Simpre,Reproductor de celurar (Descargadas en el dispositivo),2,Si,Ambos,cuando no tiene nada mas que hacer,Si,A veces,No,,,
24/8/2018 17:10:35,Hombre,16/9/1999,Universidad Mayor de San Simón,Tecnológia,Solo,Folklorica,Medios de Comunicacion,A veces,Reproductor de celurar (Descargadas en el dispositivo),1,No,Ambos,En cualquier momento,No,No,No,,,
24/8/2018 17:31:22,Hombre,27/4/2000,Universidad Mayor de San Simón,Tecnológia,Padres,Electronica,Curiosidad,A veces,Spotify,1,No,Ritmo,En cualquier momento,No,No,No,,,
24/8/2018 18:08:24,Hombre,27/9/1999,Universidad Mayor de San Simón,Tecnológia,Solo,"Pop, Electronica, Clasica, Kpop",Curiosidad,Simpre,Reproductor de celurar (Descargadas en el dispositivo),4,No,Ambos,En cualquier momento,No,A veces,No,,,
24/8/2018 18:34:29,Mujer,22/3/2000,Universidad Mayor de San Simón,Tecnológia,Padres,"Pop, Rock/Punk/Metal, Reggaton, Cumbia, Baladas, Electronica, Bachata",Medios de Comunicacion,A veces,Reproductor de celurar (Descargadas en el dispositivo),5,No,Ambos,En cualquier momento,Si,No,No,,,
24/8/2018 18:49:12,Hombre,2/2/2020,Universidad Mayor de San Simón,Tecnológia,Solo,Pop,Curiosidad,Simpre,Reproductor de celurar (Descargadas en el dispositivo),2,No,Ambos,En cualquier momento,No,No,No,,,
24/8/2018 22:08:40,Hombre,31/3/1998,Escuela militar de Ingenieria,Tecnológia,Madre,"Pop, Rock/Punk/Metal, Electronica, Clasica",Curiosidad,A veces,Spotify,1,No,Ambos,cuando esta triste/deprimido,No,No,No,,,
24/8/2018 22:57:17,Hombre,2/2/2000,Univalle,Tecnológia,Otro,"Pop, Rock/Punk/Metal, Electronica, Trap, otro",Curiosidad,Simpre,Spotify,4,Si,Ambos,cuando esta triste/deprimido,Si,No,No,,,
